Gene,fold_T_NM
DDR1,0.95345084
RFC2,0.967527372
HSPA6,0.993274467
PAX8,1.081308566
GUCA1A,1.05029929
UBA7,0.964883144
THRA,1.024367048
CCL5,0.975330688
CYP2E1,0.96820494
EPHB3,1.027441964
ESRRA,1.006480907
CYP2A6,1.047297622
SCARB1,1.074076688
TTLL12,0.953876721
MIR4435-2HG,0.984700113
WFDC2,1.085668771
MAPK1,0.974395522
ADAM32,1.025717201
SPATA17,1.077840546
PRR22,1.054601641
PXK,1.04246905
VPS18,0.981911734
MSANTD3,0.916580938
SLC46A1,1.033655939
TIMD4,1.068460465
SLC39A5,1.032111582
ZDHHC11B,0.937339762
ATP6V1E2,1.025012968
AFG3L1P,0.982659466
CILP2,1.053348376
PIGX,0.984614336
TMEM196,1.061264044
SLC39A13,0.999104993
BEST4,1.01305787
AK9,0.994167213
CORO6,1.063985625
TMEM106A,1.041068
ALG10,1.028311693
TTC39C,0.901455578
NEXN,1.009523545
C15orf40,1.023920707
RAX2,1.015385716
MFAP3,1.041731822
EYA3,0.981901244
GIMAP1,1.040091243
KLK8,1.092535514
CCDC65,1.10267429
FAM122C,1.028176681
CFAP53,1.1441748
ARMCX4,1.017587461
RBBP6,0.98444856
CENPBD1,0.977590228
TRIOBP,1.005561588
CATSPER1,1.061413119
HOXD4,1.097788946
GSC,1.067155862
PDE7A,0.925843644
CNOT7,1.01756272
CRYZL1,1.020367033
PRSS33,1.055079468
CBARP,1.04788422
MCMDC2,1.077687127
LEAP2,0.987904618
MSI2,1.019094692
SCIN,0.962893864
CTCFL,1.02565787
C4orf33,0.991334246
ZNF333,1.047325469
TVP23C,1.048579426
RDH10,0.914405641
SRSF12,1.017021152
FAM71A,0.997754106
GAPT,1.011065866
SCUBE1,1.060607613
ERICH5,0.877493391
CCDC185,1.063676967
ENTHD1,1.102154349
TSSK3,1.037258608
EPPIN,1.064731726
CLEC12A,1.013356042
BRF1,1.046159924
TMEM266,1.077454325
BACH1,0.995762749
CALML6,1.046700955
NLRP5,1.038551773
ODF4,1.035889163
CLEC4F,1.017577507
DEFB106B,1.068767504
WFDC9,1.047004592
NEDD1,1.039023581
TTLL10,1.046198084
C10orf25,1.015463684
ETV3,1.004195444
KLHL10,1.050355079
TM2D3,0.947080426
ZNF485,1.086806482
WDR17,1.027410074
MFSD6L,0.972270524
CDH23,1.049057001
ANKAR,1.043040938
MEGF11,1.062436362
GPR182,1.046888438
ESX1,1.043150679
FAM167A-AS1,1.061204304
SCGB1C1,1.08142701
DNAJC5G,1.044385985
WDR88,1.050435381
PRUNE2,1.09314306
MBD3L2B,1.018704035
ADAMTSL1,1.053237973
MBD3L1,1.068416456
TENT5D,1.015221183
SERPINB11,1.068350663
LINC00161,1.070433456
DSCR10,1.061906954
ABHD11,1.030160389
ACAP2,1.001817518
GAMT,1.046996055
PLCD3,1.042043954
IRF6,0.967072643
PTPRC,1.006253187
MAN1A2,1.009800683
RAPH1,0.900955512
SMCR8,1.007751689
LACTB,1.037650385
BNC1,1.097319597
MPP4,1.061261549
AFG1L,1.035692187
IDI2,1.061203269
CYP11B1,1.046631194
TAF8,1.043638851
COBL,0.945405007
SLAMF6,1.036439042
ZSCAN20,1.042959184
GPBAR1,1.026173365
RHBDL2,0.98404603
FRAS1,0.973802958
BRSK1,1.053128602
CRB2,1.061532576
KCNE4,1.004222377
CD300LG,1.073405224
SLC34A3,1.058121854
CPA6,0.933025782
WBP2NL,1.053163398
HIPK1,1.066529084
MTBP,1.061546193
ACVR1C,1.057279495
TMEM74,1.072655767
TIGD4,1.092243492
ART5,1.053307584
FAM71C,1.037074317
LINC01547,1.038597259
NLRP11,1.044522881
ATP6V1C2,1.098362847
CLDN19,1.028317586
VTI1A,0.983290752
KIF6,1.049167617
IQCD,1.049317777
TAGAP,1.032411324
STON2,1.047554731
SERPINA12,1.050533686
LETM2,1.021675479
BSND,1.044763662
CLEC4C,1.045752204
NLRC4,1.02916185
PRSS36,1.05144917
ZDHHC15,1.003765711
RAI1,1.033538302
CDK15,1.045314356
ZNF570,0.971158261
NUDT9P1,1.044450291
BTBD16,1.041418772
RTP3,1.021847974
TSPEAR,1.055556027
MIPOL1,1.023926982
C6orf141,0.942257518
ALMS1,0.994252539
MYO3B,1.077367376
ADAM21,1.05407297
TRIML2,1.039714982
ABCC13,1.00931725
IL12RB1,1.016034793
GTF2A1L,0.996121661
SPATA22,1.043253271
CNBD1,1.031435372
ABCC12,1.06004995
MMP21,1.001877253
TMEM190,1.139659649
GAS2L2,1.039933192
KCNG4,1.037899224
PXT1,1.061813214
CACNG5,1.023979992
LINC00308,1.051325326
FAM223B,0.979123635
WFDC11,1.069485059
IFNL3,1.028085952
JAK1,0.961270791
CDC42SE2,0.923790628
ACACB,0.987011654
COP1,1.017464448
STX6,1.025438348
ANLN,1.147571693
SPRR4,1.047140081
POLR2J4,1.055207537
HSH2D,1.006317221
