sample	treatment
GSM711904.CEL	Tumor_1
GSM711905.CEL	Normal_1
GSM711906.CEL	Tumor_2
GSM711907.CEL	Normal_2
GSM711908.CEL	Tumor_3
GSM711909.CEL	Normal_3
GSM711910.CEL	Tumor_4
GSM711911.CEL	Normal_4
GSM711912.CEL	Tumor_5
GSM711913.CEL	Normal_5
GSM711914.CEL	Tumor_6
GSM711915.CEL	Normal_6
GSM711916.CEL	Tumor_7
GSM711917.CEL	Normal_7
GSM711918.CEL	Tumor_8
GSM711919.CEL	Normal_8
GSM711920.CEL	Tumor_9
GSM711921.CEL	Normal_9
GSM711922.CEL	Tumor_10
GSM711923.CEL	Normal_10
GSM711924.CEL	Tumor_11
GSM711925.CEL	Normal_11
GSM711926.CEL	Tumor_12
GSM711927.CEL	Normal_12
GSM711928.CEL	Tumor_13
GSM711929.CEL	Normal_13
GSM711930.CEL	Tumor_14
GSM711931.CEL	Normal_14
GSM711932.CEL	Tumor_15
GSM711933.CEL	Normal_15
GSM711934.CEL	Tumor_16
GSM711935.CEL	Normal_16
GSM711936.CEL	Tumor_17
GSM711937.CEL	Normal_17
GSM711938.CEL	Tumor_18
GSM711939.CEL	Normal_18
GSM711940.CEL	Tumor_19
GSM711941.CEL	Normal_19
GSM711942.CEL	Tumor_20
GSM711943.CEL	Normal_20
GSM711944.CEL	Tumor_21
GSM711945.CEL	Normal_21
GSM711946.CEL	Tumor_22
GSM711947.CEL	Normal_22
GSM711948.CEL	Tumor_23
GSM711949.CEL	Normal_23
GSM711950.CEL	Tumor_24
GSM711951.CEL	Normal_24
GSM711952.CEL	Tumor_25
GSM711953.CEL	Normal_25
GSM711954.CEL	Tumor_26
GSM711955.CEL	Normal_26
GSM711956.CEL	Tumor_27
GSM711957.CEL	Normal_27
GSM711958.CEL	Tumor_28
GSM711959.CEL	Normal_28
GSM711960.CEL	Tumor_29
GSM711961.CEL	Normal_29
GSM711962.CEL	Tumor_30
GSM711963.CEL	Normal_30
GSM711964.CEL	Tumor_31
GSM711965.CEL	Normal_31
GSM711966.CEL	Tumor_32
GSM711967.CEL	Normal_32
GSM711968.CEL	Tumor_33
GSM711969.CEL	Normal_33
GSM711970.CEL	Tumor_34
GSM711971.CEL	Normal_34
GSM711972.CEL	Tumor_35
GSM711973.CEL	Normal_35
GSM711974.CEL	Tumor_36
GSM711975.CEL	Normal_36
GSM711976.CEL	Tumor_37
GSM711977.CEL	Normal_37
GSM711978.CEL	Tumor_38
GSM711979.CEL	Normal_38
GSM711980.CEL	Tumor_39
GSM711981.CEL	Normal_39
GSM711982.CEL	Tumor_40
GSM711983.CEL	Normal_40
GSM711984.CEL	Tumor_41
GSM711985.CEL	Normal_41
GSM711986.CEL	Tumor_42
GSM711987.CEL	Normal_42
GSM711988.CEL	Tumor_43
GSM711989.CEL	Normal_43
GSM711990.CEL	Tumor_44
GSM711991.CEL	Normal_44
GSM711992.CEL	Tumor_45
GSM711993.CEL	Normal_45
