gene,fc_1
MTND1P23,1.378702495
MTND2P28,1.178054584
RP5-857K21.6,1.059824427
RP5-857K21.7,1.127928822
MTATP8P1,1.034736725
MTATP6P1,1.207856346
RP5-857K21.11,0.932626976
RP11-206L10.9,0.946874585
LINC01128,3.731068767
RP11-54O7.16,0.080853877
RP11-54O7.1,0.094166303
RP11-54O7.2,0.075261758
SAMD11,6.962897144
KLHL17,0.391463196
PLEKHN1,0.648944133
ISG15,0.484946133
AGRN,1.677513801
RP11-465B22.3,0.125557896
RP11-465B22.8,0.395281318
B3GALT6,1.010640313
RP5-902P8.10,0.299371277
SCNN1D,0.262307492
PUSL1,1.208318887
CPTP,1.339781528
RP4-758J18.2,1.20175507
RP4-758J18.13,0.567904745
RP4-758J18.7,1.032128924
VWA1,1.735033491
ATAD3B,0.978544666
ATAD3A,0.692969702
RP5-832C2.5,0.116283965
MIB2,0.978984265
RP11-345P4.10,0.297557419
RP1-140A9.1,0.588642325
CALML6,0.83719911
PRKCZ,1.840343759
SKI,0.954749162
RER1,1.285230103
PLCH2,1.157856233
RP3-395M20.12,0.100748066
TNFRSF14,12.10774555
FAM213B,0.584569634
ARHGEF16,1.807882981
TPRG1L,0.664348646
TP73,0.864361409
SMIM1,1.749524543
DFFB,0.536779465
KCNAB2,0.075133172
RNF207,0.468823542
RP1-202O8.3,0.041946736
ESPN,0.030798685
ZBTB48,0.842119801
PHF13,0.566976899
THAP3,0.773788858
CAMTA1,0.924846649
VAMP3,0.804631825
RP3-467L1.6,0.744429886
PER3,0.289497292
PARK7,0.842597906
SLC45A1,0.887229122
ENO1-AS1,0.144664731
RP3-510D11.2,0.199586082
H6PD,0.639657159
SPSB1,0.14791662
SLC25A33,0.596290038
RP13-15M17.1,0.4957041
TMEM201,0.569948793
PIK3CD,0.001269631
NMNAT1,0.587260491
RBP7,0.074874503
UBE4B,0.8099545
KIF1B,1.003952197
PGD,0.63969065
APITD1,0.171231702
CORT,0.096468916
PEX14,1.239020757
TARDBP,1.096160443
RP4-635E18.8,1.93907926
RP4-635E18.6,0.345464081
UBIAD1,0.735243135
PTCHD2,194.7527367
FBXO44,0.300287107
FBXO6,0.65368482
AGTRAP,0.28460043
CLCN6,1.446968182
NPPA-AS1,4.187641132
PLOD1,0.384585834
MFN2,0.679301723
MIIP,0.44930133
VPS13D,1.860854198
PRDM2,1.314780974
KAZN,2.123689996
TMEM51,0.96519527
EFHD2,0.197157419
DNAJC16,1.452324597
CHCHD2P6,1.099882137
DDI2,2.089258784
PLEKHM2,2.142682566
FBLIM1,1.234988733
RP11-169K16.8,1.652399452
SPEN,1.968662472
SZRD1,1.306361732
NECAP2,2.034131716
RP4-798A10.7,0.174331132
RP5-1182A14.5,1.981522502
MST1P2,0.308790971
CROCC,0.773420536
ARHGEF10L,1.894623237
ACTL8,0.376567317
IGSF21,429314680.2
KLHDC7A,131262515.8
RP1-43E13.2,1.025178191
MRTO4,1.000273276
PQLC2,1.719306457
MINOS1,1.989810337
RP5-1056L3.3,1.637553403
NBL1,305.5954348
HTR6,0.45728539
OTUD3,1.358144117
PLA2G5,3.235653798
PLA2G2F,0.051255065
PINK1,1.021878893
NBPF3,1.647256692
LINC00339,0.392665299
CDC42,1.667920712
ZBTB40,1.679940199
ZBTB40-IT1,4.460307325
EPHA8,15.81580684
EPHB2,3.81582508
KDM1A,1.178972854
RPL11,1.322310057
TCEB3,2.239107609
PITHD1,1.554258969
LYPLA2,1.102607365
PNRC2,1.979648301
GRHL3,0.495304647
NIPAL3,0.900084749
RCAN3,1.095527656
SRRM1,1.271248435
CLIC4,1.676148936
TMEM50A,5.155805219
RP3-469D22.1,0.991607863
TMEM57,2.054955568
LDLRAP1,1.651584785
RP11-70P17.1,1.102117738
MAN1C1,1.108808267
SEPN1,1.243695856
MTFR1L,1.312205994
PDIK1L,1.336877043
ZNF593,1.257513022
CNKSR1,1.712470524
CEP85,0.581617073
SH3BGRL3,1.61483334
DHDDS,1.217023884
HMGN2,1.840129262
RPS6KA1,1.07359128
ARID1A,2.01229216
PIGV,0.821429408
ZDHHC18,1.574042714
SFN,0.199732365
NUDC,0.419331711
TRNP1,0.877833236
NPM1P39,0.397441257
WDTC1,0.452617533
TMEM222,1.008216498
ACTG1P20,1.216235633
SYTL1,2.540298299
GPR3,0.088298577
RP1-159A19.3,0.090295523
FAM76A,0.432217915
STX12,0.84726525
PPP1R8,0.55675618
SMPDL3B,0.287879824
XKR8,0.973949703
ATPIF1,0.485237796
SESN2,0.108245181
MED18,0.442879143
PHACTR4,2.747827315
RCC1,0.850133983
RP4-669K10.8,1.145134752
TRNAU1AP,0.19847479
RP11-442N24__B.1,0.058995539
RNU11,1.38E-08
GMEB1,1.364319697
YTHDF2,0.521480522
EPB41,1.122141324
PTPRU,0.564097704
MATN1-AS1,0.353781544
ZCCHC17,0.312520525
SERINC2,2.742632167
KHDRBS1,0.60071961
TMEM39B,0.610966506
KPNA6,0.827784707
TXLNA,0.851941315
CCDC28B,0.304006646
IQCC,0.39333956
EIF3I,0.96424488
FAM167B,0.467015434
HDAC1,1.17138986
ZBTB8A,0.618418418
RBBP4,0.555191995
KIAA1522,0.377614917
S100PBP,0.478881974
AZIN2,0.623503077
ZNF362,0.361354703
RP11-415J8.7,0.682616911
ZSCAN20,0.684660194
ZMYM1,0.533470237
ZMYM4,1.018845296
RPL5P4,1.001701646
NCDN,1.029346065
TFAP2E,0.154840236
AGO4,1.836429293
AGO1,1.579149677
AGO3,1.063619898
ADPRHL2,0.634938916
MAP7D1,0.550380486
THRAP3,0.504901837
SH3D21,0.255419228
RP11-268J15.5,0.374439529
ZC3H12A,0.507842163
RP3-423B22.5,1.979528795
DNALI1,0.675984094
CDCA8,0.582945627
MANEAL,2.117359341
C1orf122,0.878895405
RP11-109P14.10,1.26E-08
UTP11L,0.631576669
RP5-864K19.4,0.287441655
AKIRIN1,0.914489239
NDUFS5,0.239844294
MACF1,0.978384274
PPIE,0.592565949
MFSD2A,1.042119977
RP3-342P20.2,0.423986821
CAP1,0.752060832
RLF,1.014487581
ZMPSTE24,1.074222858
SMAP2,1.312650718
ZFP69B,0.123388501
RP1-228H13.5,0.169265295
ZFP69,4.059392802
EXO5,0.25218358
ZNF684,0.495062653
NFYC,1.001380735
KCNQ4,0.316930384
CTPS1,0.908181732
FOXO6,0.18379998
RIMKLA,0.751451711
PPCS,0.777386192
PPIH,0.408256836
YBX1,0.511557349
C1orf50,0.651220294
ERMAP,1.282947299
ZNF691,0.57414685
SLC2A1-AS1,0.137042512
FAM183A,0.562709384
TMEM125,0.593036401
CDC20,0.536996006
SZT2,1.051647336
HYI-AS1,0.670108186
PTPRF,0.519263802
KDM4A,0.724323404
ST3GAL3,0.443070668
ARTN,0.810376947
IPO13,0.764916805
DPH2,0.500091109
ATP6V0B,0.831402168
B4GALT2,0.320407831
CCDC24,0.313795622
DMAP1,0.574907398
RNF220,0.746713497
C1orf228,0.428102785
KIF2C,0.577117642
RPS8,0.796406057
PLK3,0.190850171
BTBD19,9.01E-08
UROD,0.276035023
LINC01144,0.052528088
TOE1,0.451254191
MMACHC,0.433410425
AKR1A1,0.657339909
NASP,0.286657235
TMEM69,0.680423812
MAST2,2.414244996
RP4-533D7.5,0.119777042
TSPAN1,2.336339652
RAD54L,0.172708967
UQCRH,0.714925675
NSUN4,0.848467197
FAAH,0.596276952
DMBX1,0.143042012
CYP4B1,35.26116752
CYP4X1,81.18777005
LINC00853,0.027661807
CMPK1,1.134990497
RP11-329A14.1,2.63E-07
CDKN2C,0.384501382
RNF11,0.607457919
TTC39A-AS1,2.095851967
RP11-191G24.1,0.77963363
OSBPL9,0.758701627
BTF3L4,0.419285718
ZFYVE9,0.484528567
PRPF38A,0.422801159
GPX7,153.0179748
ZYG11B,0.691658593
SCP2,0.546917253
TUBBP10,1.3037017
CPT2,0.523543955
RP5-1024G6.5,0.150401614
RP4-784A16.5,0.030561989
DIO1,0.006901907
LRRC42,0.54602368
TCEANC2,0.42355767
MRPL37,0.477718833
ACOT11,0.368635195
TTC4,0.525624385
RP11-67L3.5,0.387848843
RP11-67L3.4,0.48382022
TMEM61,2.55039394
PCSK9,1.198168333
RP4-710M16.2,5.74E-08
PRKAA2,0.996685393
FGGY,0.095765315
HOOK1,0.842113284
PGBD4P8,16.48025808
NFIA,0.603745857
INADL,0.940334729
USP1,0.618609222
ATG4C,0.413837112
ALG6,0.365504086
EFCAB7,0.370217615
PGM1,0.908473463
ROR1,1.408258252
CACHD1,0.009793117
RAVER2,0.194093086
AK4,0.453710648
DNAJC6,2.905996788
LEPROT,1.027765168
MIER1,1.350549642
GADD45A,0.526744062
SRSF11,0.756917792
HHLA3,0.084151612
CTH,0.459198792
FPGT,0.458562289
TYW3,0.608121421
ACADM,1.057087919
RABGGTB,0.986471344
TPI1P1,0.380454209
ST6GALNAC5,8.254559306
RP4-706A16.3,0.380334897
AK5,17.40191002
FAM73A,0.513759694
DNAJB4,0.654807089
PTGFR,0.157305171
IFI44,1.134634567
ADGRL2,51.45413184
PRKACB,0.226244246
RP11-82H13.2,0.494244522
SAMD13,0.276794476
DNASE2B,1.137829925
RPF1,0.396686277
CYR61,1.079528271
SH3GLB1,1.771992617
HS2ST1,0.477399533
LMO4,0.063560126
PKN2,0.861670523
TCEB1P19,0.485644887
LRRC8B,1.03604166
LRRC8D,0.162898651
ZNF326,0.898337657
CDC7,0.452694138
EPHX4,0.074833213
BTBD8,0.382592312
KIAA1107,0.351462747
RPAP2,0.469386946
RPL5,0.856287234
MTF2,0.735936118
CCDC18,0.235575926
DR1,0.835620605
FNBP1L,0.968809648
RP5-1033H22.2,74.80130498
RP4-561L24.3,0.020829882
RP11-148B18.3,0.164208046
ABCD3,0.490018295
SLC44A3,1.764937819
TMEM56,0.264653725
RWDD3,0.370142952
EEF1A1P11,0.653303503
PTBP2,0.551700162
SEC63P1,0.808364316
SNX7,0.216557204
PALMD,3.734571737
AGL,1.05382509
SLC35A3,1.488377646
HIAT1,1.044776818
TRMT13,0.831091006
