gene,fc_1,fc_2
LOC100288069,0.713456682,0.570459956
ISG15,0.475583449,1.463593226
NOC2L,4.309545457,3.301518933
B3GALT6,2.840062329,0.888823933
AGRN,9.767047772,4.500397914
ACAP3,1.029331846,0.356694746
SDF4,3.111547029,1.537682801
UBE2J2,5.319834535,2.532593439
GLTPD1,3.179869074,1.666253988
DVL1,2.627817913,2.095095899
PUSL1,1.374129556,2.178003206
CPSF3L,1.342565689,1.033387423
AURKAIP1,1.705356059,1.711336684
VWA1,0.032454739,0.002251821
LOC148413,2.270551932,1.259528266
MRPL20,1.572971045,0.858407153
CCNL2,2.925979524,1.348462358
ATAD3A,1.728889072,1.467843847
SSU72,1.583691782,1.655465587
MIB2,3.365322916,2.161113908
SLC35E2,3.779280773,1.474073294
NADK,1.643122899,1.180300476
CDK11B,2.480757883,1.078587275
CDK11A,3.787016513,0.954983618
SLC35E2B,3.814509818,1.361128603
GNB1,2.944409766,1.330185692
PRKCZ,0.097035625,0.029567202
C1orf86,1.958124028,0.879827283
PANK4,1.822531984,1.154197655
RER1,2.108156744,2.343126665
PEX10,2.95465517,1.504087083
TPRG1L,1.998442284,1.156409679
FAM213B,1.504038158,0.309602175
LRRC47,3.291251838,2.003522711
C1orf174,1.715394496,2.464693652
ICMT,1.153651659,1.768341455
ACOT7,4.4988544,7.0395101
RPL22,1.614839553,2.64673484
KLHL21,9.753304805,2.483122726
THAP3,2.339200969,2.06202907
DNAJC11,1.722233073,1.300402444
CAMTA1,2.743758038,2.292052351
VAMP3,4.088618996,1.570332549
PARK7,1.663589534,1.28533674
ERRFI1,2.468994046,14.9223632
SLC25A33,0.585079604,0.6965382
LZIC,2.49125205,2.647613769
CTNNBIP1,0.839502555,0.513723214
UBE4B,2.217104858,1.498043544
PIK3CD,306.3306283,0.651244953
CLSTN1,2.387394087,1.361430155
KIF1B,1.396377597,0.814548022
PGD,0.734298146,0.894867433
APITD1,1.00885617,1.202873938
DFFA,5.249090124,3.860937605
SRM,3.011608464,1.823220033
TARDBP,1.775834922,1.432725878
EXOSC10,1.894394669,2.162335881
MAD2L2,2.188177817,3.411406671
MTOR,1.188318378,2.30933453
FBXO2,6.715416332,0.222237812
FBXO44,4.44930373,1.041471356
KIAA2013,2.499647348,2.478631097
ENO1,3.600328876,2.978253634
PLOD1,6.032147906,2.041037729
AGTRAP,1.291678176,1.148424779
MFN2,1.525695954,1.424240367
DHRS3,8.832033414,23.1854634
VPS13D,0.941953041,1.314063209
EFHD2,8.688558702,10.65527836
DNAJC16,2.022397726,2.193769724
DDI2,0.784736141,0.816018319
RSC1A1,0.750534914,0.834936325
PLEKHM2,6.586923872,7.17138576
UQCRHL,1.869074694,1.827302242
ZBTB17,1.873763924,2.894745681
FBXO42,1.159752362,1.983718814
SZRD1,5.146667536,5.346635897
NECAP2,2.697090391,4.436491792
ATP13A2,0.970218376,1.245040351
SDHB,1.58809994,3.522423409
RCC2,0.889598109,1.972327377
MRTO4,3.144874322,6.034018586
AKR7A2,1.357519965,1.223892673
CAPZB,3.895697633,4.67981798
UBR4,2.190934827,4.671888808
EMC1,4.080416345,5.269505484
MUL1,2.099999436,2.456538169
CAMK2N1,10.31419469,0.307530416
PINK1,3.280100675,4.244536027
MINOS1,1.275401289,1.690808235
C1orf151-NBL1,9.861673306,54.06959442
NBL1,87.77535279,1526.781851
HP1BP3,1.012022706,2.198809442
DDOST,3.618527799,6.707111347
USP48,1.412053542,2.174172259
EIF4G3,3.985010636,2.796740561
LUZP1,4.59023631,5.481362598
ID3,0.221307876,0.704710993
HNRNPR,0.773923495,1.411932511
ZNF436,1.763736128,1.622100021
KDM1A,2.85169743,2.007309327
CDC42,1.610522758,2.638072927
PITHD1,1.168917096,2.194751423
TCEB3,2.195286385,2.797175374
LOC100506963,2.294246991,2.504172322
LYPLA2,1.98318297,2.732939596
FUCA1,1.916036237,0.90722503
HMGCL,1.646764015,2.889837603
GALE,4.316408324,5.625205333
PNRC2,1.214080388,1.555646115
NIPAL3,0.937658318,1.157689219
SRRM1,2.464326949,1.810248443
SRSF10,0.927134355,1.734646308
RCAN3,2.346846379,0.486963606
RPL11,2.883705427,4.165129608
SYF2,2.066085873,5.140753376
C1orf63,1.692758817,1.58429286
TMEM57,1.02458206,0.96523036
LDLRAP1,1.626385258,1.624444031
TMEM50A,1.062175057,4.96112537
CLIC4,3.025010683,13.4532559
MTFR1L,2.555261957,2.458599534
PAFAH2,1.110285509,2.354514502
ZNF593,1.618414591,3.812821356
STMN1,0.297480412,1.274061088
