gene,GSE55030_p_val,GSE71797_fc_1,GSE71797_fc_2,GSE82223_fc_1,GSE86532_fc_1,GSE92574_fc_1,GSE110903_fc_1
MTND1P23,0,0,0,0,0,0,1.378702495
MTND2P28,0,0,0,0,0,0,1.178054584
RP5-857K21.6,0,0,0,0,0,0,1.059824427
RP5-857K21.7,0,0,0,0,0,0,1.127928822
MTATP8P1,0,0,0,0,0,0,1.034736725
MTATP6P1,0,0,0,0,0,0,1.207856346
RP5-857K21.11,0,0,0,0,0,0,0.932626976
RP11-206L10.9,0,0,0,0,0,0,0.946874585
LINC01128,0,0,0,0,0,0,3.731068767
RP11-54O7.16,0,0,0,0,0,0,0.080853877
RP11-54O7.1,0,0,0,0.596693496,0,0,0.094166303
RP11-54O7.2,0,0,0,1.325859694,0,0,0.075261758
SAMD11,0.037366048,0,0,0,0,0,6.962897144
KLHL17,0.222566597,0,0,0,0,0,0.391463196
PLEKHN1,0,0,0,0,0,0,0.648944133
ISG15,0.029289252,0.475583449,3.077468801,0,0.126152927,0,0.484946133
AGRN,0.020108192,9.767047772,0.460773615,0,0,0,1.677513801
RP11-465B22.3,0,0,0,0,0,0,0.125557896
RP11-465B22.8,0,0,0,0,0,0,0.395281318
B3GALT6,0.391504072,2.840062329,0.312959305,0,0,0.334790739,1.010640313
RP5-902P8.10,0,0,0,0,0,0,0.299371277
SCNN1D,0,0,0,0,0,0,0.262307492
PUSL1,0.011158258,1.374129556,1.58500572,0,0.633246721,0,1.208318887
CPTP,0.015739549,0,0,0,0,0,1.339781528
RP4-758J18.2,0,0,0,0,0,0,1.20175507
RP4-758J18.13,0,0,0,0,0,0,0.567904745
RP4-758J18.7,0,0,0,0,0,0,1.032128924
VWA1,0.002987241,0.032454739,0.069383418,0,0,0.069260821,1.735033491
ATAD3B,0.006538608,0,0,0,0,0,0.978544666
ATAD3A,0.008731588,1.728889072,0.849009847,0,0,0,0.692969702
RP5-832C2.5,0,0,0,0,0,0,0.116283965
MIB2,0.090401606,3.365322916,0.642171334,0,0,0,0.978984265
RP11-345P4.10,0,0,0,0,0,0,0.297557419
RP1-140A9.1,0,0,0,0,0,0,0.588642325
CALML6,0,0,0,0,0,0,0.83719911
PRKCZ,0.000878242,0.097035625,0.304704612,0,0,0,1.840343759
SKI,0,0,0,0,0,0,0.954749162
RER1,0.019715782,2.108156744,1.111457519,0,0,0.583755653,1.285230103
PLCH2,0,0,0,0,0,0,1.157856233
RP3-395M20.12,0,0,0,0,0,0,0.100748066
TNFRSF14,0,0,0,0,0,0,12.10774555
FAM213B,0.036169504,1.504038158,0.205847288,0,0,0,0.584569634
ARHGEF16,0.040982936,0,0,0,0,0,1.807882981
TPRG1L,0.001449255,1.998442284,0.57865553,0,0,0,0.664348646
TP73,0,0,0,0,0,0,0.864361409
SMIM1,0,0,0,0,0,0,1.749524543
DFFB,0.018325626,0,0,0,0,0,0.536779465
KCNAB2,0,0,0,0,0,0,0.075133172
RNF207,0,0,0,0,0.499504152,0,0.468823542
RP1-202O8.3,0,0,0,0,0,0,0.041946736
ESPN,0,0,0,0,0,0,0.030798685
ZBTB48,0.579302679,0,0,0,0,0,0.842119801
PHF13,0,0,0,0,0.545760598,0,0.566976899
THAP3,0.058054579,2.339200969,0.88151001,0,0,0,0.773788858
CAMTA1,0.053368695,2.743758038,0.835369708,0,0,0,0.924846649
VAMP3,0.762874186,4.088618996,0.384074073,0,0,0.402663616,0.804631825
RP3-467L1.6,0,0,0,0,0,0,0.744429886
PER3,0,0,0,0,0,0,0.289497292
PARK7,0.007001454,1.663589534,0.772628532,0,0,0.938777308,0.842597906
SLC45A1,0,0,0,0,0,0,0.887229122
ENO1-AS1,0.032372791,0,0,0.102083508,0,0,0.144664731
RP3-510D11.2,0,0,0,0.203787119,0,0,0.199586082
H6PD,0,0,0,0,0,0,0.639657159
SPSB1,0,0,0,0,0,0,0.14791662
SLC25A33,0.049345488,0.585079604,1.190501591,0,0,0,0.596290038
RP13-15M17.1,0,0,0,0,0,0,0.4957041
TMEM201,0,0,0,0,0,0,0.569948793
PIK3CD,0.043332328,306.3306283,0.002125954,0,0,0,0.001269631
NMNAT1,0.10059567,0,0,0,0,0,0.587260491
RBP7,0,0,0,0,0.002687818,0,0.074874503
UBE4B,0.077877707,2.217104858,0.67567555,0,0,0,0.8099545
KIF1B,0.191938978,1.396377597,0.58332934,0,0,0,1.003952197
PGD,0.014228615,0.734298146,1.218670424,0,0,1.670085612,0.63969065
APITD1,0,1.00885617,1.192314598,0,0,6.862786533,0.171231702
CORT,0,0,0,0,0,0,0.096468916
PEX14,0.114191277,0,0,0,0,0,1.239020757
TARDBP,0.195312004,1.775834922,0.806790012,0,0,0,1.096160443
RP4-635E18.8,0,0,0,0,0,0,1.93907926
RP4-635E18.6,0,0,0,0,0,0,0.345464081
UBIAD1,0,0,0,0,0,0,0.735243135
PTCHD2,0,0,0,0,0,0,194.7527367
FBXO44,0.101824611,4.44930373,0.234075132,0,0,0,0.300287107
FBXO6,0,0,0,0,0.000455961,0,0.65368482
AGTRAP,0.018756373,1.291678176,0.889095132,0,0,0,0.28460043
CLCN6,0,0,0,0,0,0,1.446968182
NPPA-AS1,0,0,0,0.759342011,0,0,4.187641132
PLOD1,0.007425199,6.032147906,0.338360027,0,0,0,0.384585834
MFN2,0.007892757,1.525695954,0.933502094,0,0,0,0.679301723
MIIP,0.136588235,0,0,0,0,0,0.44930133
VPS13D,0,0.941953041,1.395041103,0,0.083552228,0,1.860854198
PRDM2,0,0,0,0,0,0,1.314780974
KAZN,0,0,0,0,0,0,2.123689996
TMEM51,0,0,0,0,0.015515067,0,0.96519527
EFHD2,0,8.688558702,1.226357411,0,0,0,0.197157419
DNAJC16,0,2.022397726,1.08473704,0,0.082032265,0,1.452324597
CHCHD2P6,0,0,0,0,0,0,1.099882137
DDI2,0.006697594,0.784736141,1.039863307,0,0.004539528,0,2.089258784
PLEKHM2,0,6.586923872,1.088730628,0,0.110438874,0,2.142682566
FBLIM1,0,0,0,0,0.016418944,0,1.234988733
RP11-169K16.8,0,0,0,0,0,0,1.652399452
SPEN,0,0,0,0,0.005480558,0,1.968662472
SZRD1,0.02056153,5.146667536,1.03885395,0,0.116012536,0,1.306361732
NECAP2,0.358843944,2.697090391,1.644917726,0,0.048365749,0,2.034131716
RP4-798A10.7,0,0,0,0,0,0,0.174331132
